common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Lilac Tasselflower,Emilia sonchifolia,{40},Mesic,"{10,20,30}",Full Sun to Dappled Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Orchid,Encyclia phoenicea,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
False Rue Anemone,Enemion biternatum,"{30,40}","Wet Mesic, Mesic",{40},Partial to Full Shade,{40},4a (-30°F to -25°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Wild Banana,Ensete ventricosum,{40},Mesic,{20},Full Sun to Partial Shade,"{105,85}",8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Abyssinian Banana,Ensete ventricosum,{40},Mesic,{20},Full Sun to Partial Shade,{85},8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Orchid,Epidendrum centropetalum,{40},Mesic,{20},Full Sun to Partial Shade,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Mayflower,Epigaea repens,{40},Mesic,{30},Partial or Dappled Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Fireweed,Epilobium angustifolium,"{40,50,60}","Mesic, Dry Mesic, Dry","{20,30}",Full Sun to Dappled Shade,"{25,20}",2a (-50°F to -45°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
,Epilobium angustifolium subsp. angustifolium,"{30,40}","Wet Mesic, Mesic","{20,30}",Full Sun to Dappled Shade,"{35,30}",3a (-40°F to -35°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Woody's Peach Surprise,Epilobium canum,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Hummingbird Trumpet,Epilobium canum,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
California Fuchsia,Epilobium canum subsp. garrettii,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
,Epilobium chlorifolium var. kaikourense,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Red-leaved willow herb,Epilobium crassum,{40},Mesic,{30},Partial or Dappled Shade,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
,Epilobium dodonaei,{40},Mesic,"{10,20,30}",Full Sun to Dappled Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Epimedium,Epimedium alpinum,{40},Mesic,"{20,30,40,50}",Full Sun to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
First Kiss,Epimedium grandiflorum,{40},Mesic,"{20,30,40}",Full Sun to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Lavender Lady,Epimedium grandiflorum,{40},Mesic,"{30,40}",Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bishop's Hat,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Bishop's Hat,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Bishop's Hat,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Longspur Epimedium,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Longspur Epimedium,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Barrenwort,Epimedium grandiflorum,"{40,50,60}","Mesic, Dry Mesic, Dry",{40},Partial to Full Shade,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Fairy Wings,Epimedium grandiflorum var. higoense,"{40,50}","Mesic, Dry Mesic","{30,40}",Partial to Full Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Editha Paetz,Epiphyllum,{40},Mesic,{30},Partial or Dappled Shade,{105},10b (35°F to 40°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Elegans Lei,Epiphyllum,{40},Mesic,{30},Partial or Dappled Shade,{105},10b (35°F to 40°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Orchid Cactus,Epiphyllum,{40},Mesic,{30},Partial or Dappled Shade,{105},10b (35°F to 40°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Epipremnum,Epipremnum,{40},Mesic,"{20,30,40,50}",Full Sun to Full Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Golden Pothos,Epipremnum aureum,{50},Dry Mesic,{40},Partial to Full Shade,"{115,110}",11a (40°F to 45°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Golden Pothos,Epipremnum aureum,"{40,50}","Mesic, Dry Mesic","{30,40}",Partial to Full Shade,{95},9b (25°F to 30°F) ,,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Pothos,Epipremnum aureum,{40},Mesic,"{30,40}",Partial to Full Shade,{95},9b (25°F to 30°F) ,,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Fireweed,Erechtites hieracifolia,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Emu Bush,Eremophila glabra Winter Blaze™,"{40,50}","Mesic, Dry Mesic","{10,20}",Full Sun to Partial Shade,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Emu Bush,Eremophila maculata Valentine®,"{40,50}","Mesic, Dry Mesic","{10,20}",Full Sun to Partial Shade,{80},8a (10°F to 15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Emu Bush,Eremophila nivea,{40},Mesic,{10},Full Sun,{100},10a (30°F to 35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Foxtail Lily,Eremurus stenophyllus,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Foxtail Lily,Eremurus stenophyllus subsp. stenophyllus,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Heather,Erica,"{30,40}","Wet Mesic, Mesic","{10,20}",Full Sun to Partial Shade,{55},5b (-15°F to -10°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Heather,Erica carnea,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{55},5b (-15°F to -10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Darley Dale Heath,Erica carnea,{40},Mesic,{10},Full Sun,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Heath,Erica carnea,{50},Dry Mesic,{10},Full Sun,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Common Rabbitbrush,Ericameria nauseosa var. nauseosa,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Fleabane,Erigeron aureus,{50},Dry Mesic,{10},Full Sun,{40},4a (-30°F to -25°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Wayne Roderick,Erigeron glaucus,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{65},6b (-5°F to 0°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Robin's plantain,Erigeron pulchellus,"{40,50,60}","Mesic, Dry Mesic, Dry",{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
,Erinacea anthyllis,{50},Dry Mesic,{10},Full Sun,{65},6b (-5°F to 0°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Fairy Foxglove,Erinus alpinus,"{30,40}","Wet Mesic, Mesic",{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Loquat,Eriobotrya japonica,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{70},7a (0°F to 5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Hairy Yerba Santa,Eriodictyon trichocalyx,"{40,50,60}","Mesic, Dry Mesic, Dry",{10},Full Sun,{75},7b (5°F to 10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Matted buckwheat,Eriogonum caespitosum,{50},Dry Mesic,{10},Full Sun,"{35,30}",3a (-40°F to -35°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Eastern Mojave Buckwheat,Eriogonum fasciculatum,"{40,50}","Mesic, Dry Mesic",{10},Full Sun,{85},8b (15°F to 20°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
California Buckwheat,Eriogonum fasciculatum var. foliolosum,{50},Dry Mesic,{10},Full Sun,{70},7a (0°F to 5°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Saint Catherine's Lace,Eriogonum giganteum,"{40,50}","Mesic, Dry Mesic",{10},Full Sun,{90},9a (20°F to 25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Naked Buckwheat,Eriogonum nudum,{40},Mesic,{10},Full Sun,{60},6a (-10°F to -5°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Sulphur-flower Buckwheat,Eriogonum umbellatum var. aureum,"{50,60}","Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{85},8b (15°F to 20°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Tall cottongrass,Eriophorum angustifolium,"{10,20}","In Water, Wet",{10},Full Sun,"{25,20}",2a (-50°F to -45°F),,Wet Soils: Hydric or wet soils are characteristic of wetland or shoreline areas. The soils are usually saturated with water. There is periodic flooding or ponding and the moisture usually does not drain well. The roots of several dry plants cannot withstand the moisture levels of wet soil.,,
Cacto Rojo,Eriosyce curvispina,"{40,50}","Mesic, Dry Mesic","{10,20}",Full Sun to Partial Shade,{95},9b (25°F to 30°F) ,,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils. Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.",,
Sea Holly,Eryngium,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{75},7b (5°F to 10°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Fragrant Eryngo,Eryngium aromaticum,{60},Dry,{10},Full Sun,{80},8a (10°F to 15°F),,"Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Sea Holly,Eryngium planum,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Sea Holly,Eryngium planum,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{40},4a (-30°F to -25°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Sea Holly,Eryngium planum,"{50,60}","Dry Mesic, Dry",{10},Full Sun,{40},4a (-30°F to -25°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Aurora,Erysimum cheiri,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Wallflower,Erysimum cheiri,"{50,60}","Dry Mesic, Dry",{20},Full Sun to Partial Shade,{50},5a (-20°F to -15°F),,"Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
Constant Cheer,Erysimum cheiri,"{40,50,60}","Mesic, Dry Mesic, Dry",{20},Full Sun to Partial Shade,{40},4a (-30°F to -25°F),,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.",,
